建筑面积,套内面积,配备电梯,复式,错层,高楼层,中楼层,板楼,塔楼,毛坯,简装,精装,卧室数,客厅数,厨房数,卫生间数,地区平均房价,价格/万
110.74,84.91,1,0,0,0,0,0,0,0,0,1,3,2,1,2,1.2652,117.0
144.58,116.16,1,0,0,0,0,0,1,0,0,1,4,2,1,2,1.534,365.0
140.41,119.66,0,0,0,0,1,0,0,0,0,1,3,1,1,2,1.534,218.0
87.8,87.0,0,0,0,0,1,0,1,0,1,0,3,2,1,2,2.3838,140.0
133.04,109.5,1,0,0,0,1,0,1,0,0,0,4,2,1,2,1.2652,166.0
110.99,91.68,1,0,0,0,0,0,0,0,0,1,4,2,1,2,2.3838,265.0
40.23,32.4,1,1,0,0,0,1,0,0,0,1,1,2,1,2,2.3838,110.0
88.53,67.83,1,0,0,0,0,0,0,1,0,0,3,2,1,2,1.2652,87.0
99.58,74.54,1,0,0,0,0,1,0,0,0,1,3,2,1,2,2.3838,280.0
98.84,90.0,0,0,0,0,1,0,1,0,0,1,4,2,1,2,0.9573,49.0
28.92,21.29,0,0,0,0,1,0,1,0,0,0,1,0,1,1,2.3838,37.0
102.58,84.88,0,0,0,1,0,0,0,0,1,0,3,1,1,1,1.2652,170.0
97.69,78.01,1,0,0,0,1,1,0,1,0,0,3,2,1,1,2.3838,176.0
108.97,88.1,1,0,0,1,0,0,1,0,0,0,3,2,1,2,2.3838,285.0
88.98,71.02,1,0,0,0,1,0,1,0,0,1,3,2,1,2,1.2652,158.0
47.49,37.99,1,0,0,1,0,0,0,0,0,1,2,1,1,1,2.3838,106.0
111.29,99.81,0,0,0,0,1,0,0,0,0,1,3,2,1,2,0.9573,92.8
77.0,62.64,1,0,0,0,0,0,0,0,0,1,2,1,1,1,2.3838,210.0
99.69,76.07,1,0,0,0,0,0,1,0,0,1,3,2,1,2,2.3838,153.0
77.62,58.58,1,0,0,0,0,1,0,0,0,1,2,2,1,1,2.3838,160.0
70.37,59.13,1,0,0,0,1,1,0,0,0,1,2,2,1,1,0.9573,77.0
63.04,49.89,1,0,0,0,0,0,1,0,0,1,2,2,1,1,2.3838,173.0
91.66,82.59,0,0,0,0,1,1,0,0,1,0,3,2,1,2,0.9573,72.0
87.01,68.43,1,0,0,1,0,0,0,0,0,1,3,2,1,1,1.2652,108.0
82.14,63.88,1,0,0,0,1,0,1,0,1,0,2,1,1,1,0.9573,65.0
93.58,74.02,1,0,0,0,0,0,1,0,0,1,3,2,1,2,1.2652,158.0
110.3,88.12,1,0,0,1,0,0,0,0,0,0,3,1,1,2,2.3838,258.0
93.58,74.02,1,0,0,0,0,0,1,0,0,1,3,2,1,1,1.2652,150.0
124.36,96.08,1,0,0,0,0,0,0,0,0,1,4,2,1,2,1.2652,223.0
109.27,89.46,1,0,0,0,1,0,0,1,0,0,3,2,1,2,0.9573,111.0
68.7,49.57,1,0,0,1,0,0,0,0,0,1,2,2,1,1,2.3838,160.0
73.0,58.0,1,0,0,0,1,1,0,0,0,1,2,2,1,1,1.2652,50.0
38.22,29.87,1,0,0,0,0,0,1,0,0,1,1,0,1,1,2.3838,90.0
47.49,37.99,1,0,0,1,0,0,0,0,0,1,2,1,1,1,2.3838,106.0
141.45,112.98,1,0,0,0,1,0,0,0,0,0,4,1,1,2,1.534,319.0
108.97,88.1,1,0,0,1,0,0,1,0,0,0,3,2,1,2,2.3838,285.0
110.74,84.91,1,0,0,0,0,0,0,0,0,1,3,2,1,2,1.2652,117.0
98.0,90.06,1,0,0,1,0,0,0,0,0,1,3,2,1,2,0.9573,99.0
92.24,74.17,1,0,0,1,0,0,0,0,0,1,3,2,1,2,2.3838,207.0
75.12,64.02,1,0,0,1,0,0,0,0,0,1,2,2,1,1,2.3838,130.0
82.0,78.0,1,0,0,1,0,0,1,0,1,0,2,2,1,1,2.3838,132.0
127.27,101.46,1,0,0,0,0,0,1,0,0,1,3,2,1,2,2.3838,258.0
98.84,90.0,0,0,0,0,1,0,1,0,0,1,4,2,1,2,0.9573,49.0
133.04,109.5,1,0,0,0,1,0,1,0,0,0,4,2,1,2,1.2652,166.0
112.73,94.2,1,0,0,1,0,0,0,0,0,1,4,2,1,2,1.2652,89.0
40.23,32.4,1,1,0,0,0,1,0,0,0,1,1,2,1,2,2.3838,110.0
88.53,67.83,1,0,0,0,0,0,0,1,0,0,3,2,1,2,1.2652,87.0
81.04,66.4,1,0,0,0,1,0,0,0,0,1,2,2,1,1,2.3838,166.0
93.0,74.58,1,0,0,1,0,0,0,0,0,1,3,2,1,2,1.2652,110.0
97.56,80.75,1,0,0,1,0,0,0,0,1,0,3,2,1,1,0.9573,82.0
93.64,73.55,1,0,0,0,0,0,1,0,0,1,3,1,1,1,1.2652,142.0
92.24,74.17,1,0,0,1,0,0,0,0,0,1,3,2,1,2,2.3838,207.0
102.58,84.88,0,0,0,1,0,0,0,0,1,0,3,1,1,1,1.2652,170.0
52.66,34.8,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2.3838,76.0
64.29,43.95,1,0,0,1,0,0,0,0,0,1,2,1,1,1,2.3838,120.0
98.0,90.06,1,0,0,1,0,0,0,0,0,1,3,2,1,2,0.9573,99.0
101.06,85.51,1,0,1,0,1,0,1,0,0,0,2,2,1,1,1.534,190.0
68.7,49.57,1,0,0,1,0,0,0,0,0,1,2,2,1,1,2.3838,160.0
98.77,77.22,1,0,0,0,1,0,0,1,0,0,3,2,1,2,1.2652,100.0
141.04,121.37,1,0,0,0,0,0,0,0,0,1,4,2,1,2,1.534,260.0
28.92,21.29,0,0,0,0,1,0,1,0,0,0,1,0,1,1,2.3838,37.0
113.46,93.19,1,0,0,0,0,1,0,0,0,0,3,2,1,2,0.9573,123.0
33.34,24.21,1,0,0,0,0,1,0,0,0,1,1,0,1,1,2.3838,90.0
79.51,61.8,1,0,0,1,0,1,0,0,0,1,2,2,1,1,0.9573,90.0
92.24,74.17,1,0,0,1,0,0,0,0,0,1,3,2,1,2,2.3838,207.0
102.58,84.88,0,0,0,1,0,0,0,0,1,0,3,1,1,1,1.2652,170.0
84.94,64.62,1,0,0,0,1,0,1,0,0,1,2,1,1,1,0.9573,69.0
75.12,64.02,1,0,0,1,0,0,0,0,0,1,2,2,1,1,2.3838,130.0
52.91,39.52,1,0,0,0,0,0,1,0,0,0,2,1,1,1,2.3838,110.0
98.08,85.0,1,0,0,0,0,1,0,0,0,1,3,2,1,2,1.534,195.0
94.62,74.0,1,0,0,1,0,0,1,0,1,0,3,2,1,1,1.2652,150.0
75.53,73.0,1,0,0,0,0,1,0,0,0,1,2,2,1,1,2.3838,165.0
48.83,33.78,1,0,0,0,0,0,1,0,0,1,2,1,1,1,2.3838,64.5
100.59,77.03,1,0,0,0,0,0,1,0,0,1,3,2,1,2,2.3838,300.0
86.41,64.53,1,0,0,0,0,0,1,0,0,1,2,2,1,1,2.3838,238.0
52.91,39.52,1,0,0,0,0,0,1,0,0,0,2,1,1,1,2.3838,110.0
74.8,63.1,1,0,0,0,1,0,1,0,1,0,2,2,1,1,2.3838,158.0
107.91,94.15,1,0,0,0,0,1,0,0,0,1,3,2,1,2,2.3838,185.0
91.77,76.39,1,0,0,0,1,1,0,0,0,1,3,2,1,1,0.9573,104.0
65.7,50.67,1,0,0,0,0,1,0,0,0,1,2,2,1,1,0.9573,58.0
42.47,32.79,1,0,0,0,1,0,1,0,1,0,1,1,1,1,2.3838,89.0
65.68,54.06,1,0,0,0,1,1,0,0,0,0,2,2,1,1,1.2652,89.0
91.77,76.39,1,0,0,0,1,1,0,0,0,1,3,2,1,1,0.9573,104.0
65.7,50.67,1,0,0,0,0,1,0,0,0,1,2,2,1,1,0.9573,58.0
59.79,48.57,1,0,0,1,0,0,1,1,0,0,2,2,1,1,0.9573,52.0
106.06,97.0,0,0,0,0,1,1,0,0,0,1,3,2,1,1,2.3838,178.0
98.63,74.69,1,0,0,1,0,0,1,1,0,0,3,2,1,2,0.9573,78.0
69.41,60.75,1,0,0,0,1,1,0,0,0,1,2,2,1,1,2.3838,160.0
38.92,28.32,1,0,0,1,0,0,1,0,0,1,1,1,1,1,2.3838,138.0
95.0,76.82,1,0,0,1,0,0,0,0,1,0,3,2,1,2,1.2652,104.0
87.88,67.03,1,0,0,1,0,0,0,0,0,0,3,2,1,1,1.534,175.0
154.65,133.16,0,0,0,0,1,0,0,0,1,0,3,2,1,2,1.534,220.0
76.77,70.1,0,0,0,0,1,0,1,0,0,1,3,1,1,1,2.3838,129.0
87.89,67.5,1,0,0,1,0,0,1,0,0,1,3,2,1,1,1.2652,110.0
74.7,55.93,1,0,0,0,0,0,0,0,1,0,2,1,1,1,1.2652,70.0
133.9,108.08,1,0,0,1,0,0,0,0,0,1,3,2,1,2,2.3838,330.0
50.44,38.26,1,0,0,0,1,1,0,0,1,0,2,1,1,1,2.3838,130.0
95.61,73.81,1,0,0,0,0,0,0,0,0,1,3,1,1,2,1.2652,160.0
86.21,71.01,1,0,0,0,1,0,0,0,1,0,2,2,1,1,0.9573,75.0
92.03,92.03,1,0,0,0,0,0,0,0,0,1,2,2,1,1,1.2652,149.0
39.0,29.19,1,0,0,0,1,0,0,0,1,0,1,1,1,1,2.3838,85.0
38.81,29.13,1,0,0,1,0,1,0,0,0,1,1,0,1,1,2.3838,84.5
74.82,60.38,1,0,0,1,0,1,0,0,0,0,2,2,1,1,1.2652,71.0
84.5,65.67,1,0,0,0,1,0,1,0,0,1,2,2,1,1,2.3838,200.0
135.46,113.58,1,0,0,0,1,1,0,0,0,1,3,2,1,2,2.3838,320.0
93.52,73.99,1,0,0,0,1,1,0,1,0,0,3,1,1,2,0.9573,89.0
88.68,69.61,1,0,0,1,0,1,0,0,0,1,3,2,1,1,1.2652,105.0
88.54,72.77,1,0,0,0,0,0,1,0,0,1,3,2,1,2,2.3838,216.0
